,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025
F/R,COMMODITIES ,January,February,March,April,May,June,July,August,September,October,November,December,January,February,March,April,May,June,July,August,September,October,November,December,January,February,March,April,May,June,July,August,September,October,November,December,January,February,March,April,May,June,July,August,September,October,November,December,January,February,March,April,May,June,July,August,September,October,November,December
,COCONUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FARMGATE,Coconut Mature,8.6,8.58,8.56,8.61,8.4,8.34,8.24,8.03,7.98,8.22,8.51,8.68,8.72,9.12,9.65,9.72,9.36,9.23,8.71,8.43,8.44,8.57,8.54,8.57,8.1,8.04,8.05,8.32,8.21,8.09,8.17,8.24,8.16,8.13,8.28,8.57,9.65,9.68,10.47,9.57,9.01,8.93,12.86,13.77,13.02,12.47,12.89,12.38,11.84,11.52,13.28,14.69,14.83,14.45,12.92,12.61,12.75,11.98,12.35,12.25
,Coconut Young,9.52,9.21,9.53,9.26,9.17,9.4,9.17,9,8.94,9.01,8.85,9.59,9.62,9.79,10.32,10.45,10.39,10.4,10.1,10.2,10.03,10.4,10.24,10.9,10.26,10.36,10.43,10.45,10.03,10.39,10.55,10.31,10.45,10.74,10.94,11.39,11.26,11.22,11.86,12.98,13.15,11.3,11.08,12.12,12.14,12.44,13.79,14.05,13.47,11.38,12.57,11.23,13.64,15.3,12.72,12.94,12.01,13.11,16.13,13.51
,AVERAGE,9.06,8.895,9.045,8.935,8.785,8.87,8.705,8.515,8.46,8.615,8.68,9.135,9.17,9.455,9.985,10.085,9.875,9.815,9.405,9.315,9.235,9.485,9.39,9.735,9.18,9.2,9.24,9.385,9.12,9.24,9.36,9.275,9.305,9.435,9.61,9.98,10.455,10.45,11.165,11.275,11.08,10.115,11.97,12.945,12.58,12.455,13.34,13.215,12.655,11.45,12.925,12.96,14.235,14.875,12.82,12.775,12.38,12.545,14.24,12.88
RETAIL,"MATURED COCONUT, MEDIUM, 1 PC",24.06,24.16,24.2,24.43,24.4,24.48,24.43,24.32,24.37,24.33,24.29,24.38,24.64,24.66,24.98,25.71,26.07,26.16,26.46,26.64,26.59,26.68,26.71,26.86,26.93,26.67,26.5,26.54,26.43,26.31,26.22,26.19,26.28,26.35,26.4,26.42,26.56,26.57,26.49,26.44,26.48,26.6,26.63,26.68,26.77,26.91,26.95,27.44,27.87,28.18,28.67,29.48,30.53,31.58,32.27,32.37,32.56,32.92,33.02,33.42
,"YOUNG COCONUT, MEDIUM, 1 PC",25.8,25.77,25.95,26.08,25.98,26.06,25.89,25.95,26,26.05,26.01,26.09,26.77,26.92,27.13,27.3,27.6,27.75,28.17,28.28,28.62,28.73,28.97,29.03,29.06,29.09,29.19,29.17,29.22,29.4,29.65,29.63,29.65,29.7,29.74,29.89,30.06,30.11,30.11,30.13,30.04,30.18,30.26,30.27,30.29,30.29,30.41,30.79,31.94,32.37,32.58,32.92,33.39,34.07,34.53,34.75,34.99,35.09,35.16,35.46
,AVERAGE,24.93,24.965,25.075,25.255,25.19,25.27,25.16,25.135,25.185,25.19,25.15,25.235,25.705,25.79,26.055,26.505,26.835,26.955,27.315,27.46,27.605,27.705,27.84,27.945,27.995,27.88,27.845,27.855,27.825,27.855,27.935,27.91,27.965,28.025,28.07,28.155,28.31,28.34,28.3,28.285,28.26,28.39,28.445,28.475,28.53,28.6,28.68,29.115,29.905,30.275,30.625,31.2,31.96,32.825,33.4,33.56,33.775,34.005,34.09,34.44
,MARGIN,15.87,16.07,16.03,16.32,16.405,16.4,16.455,16.62,16.725,16.575,16.47,16.1,16.535,16.335,16.07,16.42,16.96,17.14,17.91,18.145,18.37,18.22,18.45,18.21,18.815,18.68,18.605,18.47,18.705,18.615,18.575,18.635,18.66,18.59,18.46,18.175,17.855,17.89,17.135,17.01,17.18,18.275,16.475,15.53,15.95,16.145,15.34,15.9,17.25,18.825,17.7,18.24,17.725,17.95,20.58,20.785,21.395,21.46,19.85,21.56
