Date,Commodity,Farmgate (average),Retail (average),Margin
2021-01,Banana,19.264,46.735,27.471
2021-01,Cassava,9.385,33.89,24.505
2021-01,Coconut,9.06,24.93,15.87
2021-01,Corn,22.295,35.915,13.62
2021-01,Mango,37.137,119.093,81.956
2021-01,Palay,18.705,44.493,25.788
2021-01,Pineapple,16.705,52.73,36.025
2021-01,Ube,30.89,64.79,33.9
2021-02,Banana,19.848,46.162,26.314
2021-02,Cassava,9.165,33.7,24.535
2021-02,Coconut,8.895,24.965,16.07
2021-02,Corn,24.842,35.928,11.086
2021-02,Mango,36.828,117.89,81.062
2021-02,Palay,18.92,44.547,25.627
2021-02,Pineapple,14.47,52.7,38.23
2021-02,Ube,31.76,64.64,32.88
2021-03,Banana,19.228,45.85,26.622
2021-03,Cassava,9.855,33.4,23.545
2021-03,Coconut,9.045,25.075,16.03
2021-03,Corn,24.92,36.119,11.199
2021-03,Mango,32.758,112.721,79.964
2021-03,Palay,19.76,44.617,24.857
2021-03,Pineapple,14.85,53.973,39.123
2021-03,Ube,17.52,60.5,42.98
2021-04,Banana,18.464,45.84,27.376
2021-04,Cassava,9.46,32.8,23.34
2021-04,Coconut,8.935,25.255,16.32
2021-04,Corn,24.495,36.663,12.168
2021-04,Mango,30.623,111.82,81.198
2021-04,Palay,20.09,44.71,24.62
2021-04,Pineapple,23.59,53.103,29.513
2021-04,Ube,22.73,61.21,38.48
2021-05,Banana,17.296,45.245,27.949
2021-05,Cassava,8.72,32.84,24.12
2021-05,Coconut,8.785,25.19,16.405
2021-05,Corn,25.5,37.607,12.107
2021-05,Mango,26.072,96.523,70.45
2021-05,Palay,20.385,44.77,24.385
2021-05,Pineapple,23.25,53.24,29.99
2021-05,Ube,23.73,61.65,37.92
2021-06,Banana,18.778,44.73,25.952
2021-06,Cassava,9.01,32.11,23.1
2021-06,Coconut,8.87,25.27,16.4
2021-06,Corn,27.475,37.939,10.464
2021-06,Mango,28.888,87.09,58.202
2021-06,Palay,20.465,44.723,24.258
2021-06,Pineapple,22.93,53.087,30.157
2021-06,Ube,27.57,64.03,36.46
2021-07,Banana,17.954,44.34,26.386
2021-07,Cassava,8.74,32.31,23.57
2021-07,Coconut,8.705,25.16,16.455
2021-07,Corn,20.362,38.089,17.727
2021-07,Mango,26.215,94.664,68.449
2021-07,Palay,18.805,44.817,26.012
2021-07,Pineapple,22.927,52.513,29.587
2021-07,Ube,22.89,65.49,42.6
2021-08,Banana,17.892,44.048,26.155
2021-08,Cassava,8.68,31.53,22.85
2021-08,Coconut,8.515,25.135,16.62
2021-08,Corn,19.78,38.633,18.853
2021-08,Mango,26.733,97.464,70.731
2021-08,Palay,17.26,44.927,27.667
2021-08,Pineapple,12.63,53.43,40.8
2021-08,Ube,19.47,63.81,44.34
2021-09,Banana,16.466,43.302,26.836
2021-09,Cassava,8.42,31.68,23.26
2021-09,Coconut,8.46,25.185,16.725
2021-09,Corn,28.35,38.291,9.941
2021-09,Mango,31.832,100.354,68.522
2021-09,Palay,16.18,44.8,28.62
2021-09,Pineapple,13.755,53.993,40.238
2021-09,Ube,37.09,64.02,26.93
2021-10,Banana,17.848,43.418,25.569
2021-10,Cassava,8.99,32.01,23.02
2021-10,Coconut,8.615,25.19,16.575
2021-10,Corn,25.818,38.564,12.746
2021-10,Mango,27.013,101.317,74.304
2021-10,Palay,15.815,44.757,28.942
2021-10,Pineapple,12.37,54.747,42.377
2021-10,Ube,37.31,65.33,28.02
2021-11,Banana,17.856,42.862,25.006
2021-11,Cassava,8.535,32.2,23.665
2021-11,Coconut,8.68,25.15,16.47
2021-11,Corn,25.865,38.903,13.038
2021-11,Mango,29.457,105.479,76.022
2021-11,Palay,17.52,44.69,27.17
2021-11,Pineapple,17.567,54.897,37.33
2021-11,Ube,32.98,63.98,31.0
2021-12,Banana,18.044,42.468,24.424
2021-12,Cassava,8.94,31.89,22.95
2021-12,Coconut,9.135,25.235,16.1
2021-12,Corn,37.975,39.018,1.043
2021-12,Mango,33.2,111.487,78.287
2021-12,Palay,17.655,44.653,26.998
2021-12,Pineapple,14.61,55.047,40.437
2021-12,Ube,29.69,66.31,36.62
2022-01,Banana,19.466,43.32,23.854
2022-01,Cassava,8.56,32.61,24.05
2022-01,Coconut,9.17,25.705,16.535
2022-01,Corn,17.81,39.446,21.636
2022-01,Mango,34.965,116.269,81.304
2022-01,Palay,18.14,44.757,26.617
2022-01,Pineapple,14.915,56.743,41.828
2022-01,Ube,33.25,62.54,29.29
2022-02,Banana,18.646,43.758,25.112
2022-02,Cassava,8.53,31.71,23.18
2022-02,Coconut,9.455,25.79,16.335
2022-02,Corn,17.572,39.599,22.027
2022-02,Mango,33.32,114.381,81.061
2022-02,Palay,18.15,44.857,26.707
2022-02,Pineapple,20.967,56.917,35.95
2022-02,Ube,32.94,60.98,28.04
2022-03,Banana,18.778,43.64,24.862
2022-03,Cassava,8.725,31.68,22.955
